Year,Warm,Cold
2020,2.0,6.0
2021,1.0,1.0
2022,0.0,5.0
2023,1.0,5.0
2024,2.0,5.0
2025,3.0,1.0
2026,1.0,7.0
2027,0.0,4.0
2028,0.0,3.0
2029,2.0,4.0
2030,0.0,4.0
2031,1.0,1.0
2032,3.0,4.0
2033,2.0,3.0
2034,4.0,0.0
2035,2.0,5.0
2036,2.0,5.0
2037,0.0,4.0
2038,0.0,2.0
2039,0.0,4.0
2040,1.0,4.0
2041,1.0,2.0
2042,0.0,3.0
2043,1.0,4.0
2044,3.0,6.0
2045,0.0,3.0
2046,2.0,6.0
2047,1.0,1.0
2048,0.0,6.0
2049,0.0,5.0
2050,1.0,2.0
2051,2.0,3.0
2052,2.0,3.0
2053,1.0,4.0
2054,1.0,8.0
2055,1.0,5.0
2056,4.0,3.0
2057,1.0,6.0
2058,2.0,2.0
2059,3.0,8.0
2060,1.0,3.0
2061,2.0,4.0
2062,0.0,3.0
2063,3.0,5.0
2064,2.0,4.0
2065,0.0,5.0
2066,0.0,3.0
2067,0.0,8.0
2068,3.0,8.0
2069,0.0,5.0
2070,2.0,4.0
2071,1.0,6.0
2072,3.0,5.0
2073,0.0,5.0
2074,3.0,2.0
2075,2.0,2.0
2076,4.0,6.0
2077,2.0,9.0
2078,1.0,5.0
2079,3.0,2.0
2080,0.0,1.0
2081,3.0,3.0
2082,0.0,6.0
2083,0.0,4.0
2084,1.0,2.0
2085,1.0,6.0
2086,4.0,2.0
2087,1.0,3.0
2088,0.0,9.0
2089,2.0,1.0
2090,0.0,8.0
2091,1.0,4.0
2092,0.0,1.0
2093,1.0,2.0
2094,1.0,0.0
2095,3.0,7.0
2096,0.0,5.0
2097,1.0,5.0
2098,0.0,3.0
2099,2.0,2.0
2100,4.0,3.0
