Constituent,Amplitude,Phase,Speed
1,0.667,234,28.984104
2,0.128,253.3,30
3,0.155,217.8,28.43973
4,0.101,104.3,15.041069
5,0.025,328.3,57.96821
6,0.052,106.5,13.943035
7,0.026,76.4,86.95232
8,0.008,211.4,44.025173
9,0.01,78.8,60
10,0.012,335.5,"	57.423832"
11,0.026,215.2,28.512583
12,0,0,90
13,0.021,230.1,27.968208
14,0.02,208.2,27.895355
15,0.005,139.4,16.139101
16,0.008,237.7,29.455626
17,0.013,53,15
18,0.003,157.3,14.496694
19,0.005,133.3,15.5854435
20,0,0,0.5443747
21,0.03,46.9,0.0821373
22,0.07,129.6,0.0410686
23,0,0,1.0158958
24,0,0,1.0980331
25,0.002,107.5,3.471515
26,0.011,123.7,13.398661
27,0.011,240.7,29.958933
28,0.011,254.1,30.041067
29,0.011,108.6,12.854286
30,0.031,109.1,14.958931
31,0,0,31.015896
32,0.01,210.6,43.47616
33,0.025,240.1,29.528479
34,0.008,194.6,42.92714
35,0.035,253.4,30.082138
36,0.004,107,115.93642
37,0.015,312.2,58.984104
